CT	TF	RandomRatio	Training	AUPR	BP_Resolution	Total_GoldStandard_Bins	Precision_at_5%_Recall	Precision_at_10%_Recall	RandomAUPR	log2FC_AUPR_AUPR_Random
A549	CEBPB	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4191841576769175	200	2560	0.9349651834239132	0.8186311952627389	0.002252220548697231	7.54009227332788
K562	BHLHE40	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5336196412263309	200	7827	0.9446386512790228	0.8537663297854452	0.006885988372911417	6.276004214431121
A549	SREBF1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.2832930921422235	200	270	0.9302954144620812	0.7382066276803119	0.0002375388859954111	10.21991600063389
MCF-7	CUX1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.231153229769956	200	2539	0.6649346646036874	0.542756395883288	0.0022337453020086994	6.693241015422271
HepG2	RFX1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.6070539217284292	200	1109	0.965952428488902	0.9487034184579348	0.0009756689798848552	9.281217194201718
GM12878	USF2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.645956050721186	200	867	1.0009803921568627	0.9668494615294896	0.0007627637561408201	9.725984001988659
SK-N-SH	RFX5	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.301716389382191	200	1854	0.7303558164992051	0.6597522161640116	0.0016311003505018228	7.531203712303963
GM12878	E4F1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.2607554193945413	200	1207	0.439031051585458	0.4709339154902588	0.0010618867977646711	7.939923450881423
SK-N-SH	USF2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5080648668376615	200	456	1.0010964912280702	1.0019736842105262	0.0004011767852366943	10.30655886411851
K562	SREBF1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.1936298131775336	200	883	0.462706436922235	0.30661598457647	0.0007768401345701778	7.961467648200668
HEK293T	FOXK2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0982830768853468	200	519	0.3939776376481578	0.2419064337658709	0.00045660252530229024	7.749860375105958
K562	ZBTB40	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4354012518049355	200	10754	0.9454664933343232	0.8798446652979477	0.00946108585183204	5.524195973506515
GM12878	ARID3A	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.3592085907618812	200	4012	0.7345004704470588	0.6355309378931252	0.003529651891161442	6.669152137504205
GM12878	ZBTB33	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0317835833590488	200	1052	0.0478089657472823	0.0447274204756294	0.0009255218817302684	5.101870877063906
HEK293	TCF7L2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0937234865313812	200	2634	0.2716360011337594	0.2426567875415691	0.0023173237989330105	5.337879072997533
GM12878	TBP	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4552489158333435	200	4335	0.7045861519458417	0.6724378279434854	0.0038138187807041004	6.899275477760529
GM12878	ZNF207	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.363066821222236	200	2719	0.6193799485693368	0.5171292665145766	0.002392104559338973	7.245810834197741
HepG2	CREM	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5334444572888624	200	6516	0.9475945755559126	0.8738925608416809	0.005732605115355921	6.540003350068028
GM12878	TCF7	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.2738202808559297	200	1978	0.6903153540516647	0.5383874892244283	0.001740192283329345	7.297838769296717
HEK293T	ARNT	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.1114530742858544	200	1081	0.3085855416011747	0.2101361877176626	0.0009510353176334792	6.872721778663549
MCF-7	ZKSCAN1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.1331448810152092	200	641	0.5714735498510849	0.3333850673614573	0.0005639349108261427	7.883252590509125
K562	ELK1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4336308881814699	200	1218	0.8827152250205429	0.7891079774084699	0.0010715643079348546	8.660605282201399
GM12878	ZNF592	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.1019845306382215	200	1862	0.1715788758584747	0.1638942464531816	0.0016381385397165017	5.960149152738245
HCT116	MAX	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4740296962300337	200	9550	0.7302593641742593	0.6880403458213257	0.008401838375022874	5.818128598136331
A549	MAFK	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5620558755786605	200	11329	0.9387831507538864	0.9144183850214166	0.009966955701637083	5.817416833405689
HEK293T	ZNF384	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.3084638281979953	200	6702	0.80295649756966	0.7001254184626844	0.005896243014597204	5.709161525845668
GM12878	MAX	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.4573971616697418	200	3247	0.8580270477943116	0.7865288884745434	0.002856625047507777	7.322991918412448
MCF-7	ZNF207	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.04645495288152	200	430	0.0966054671562627	0.1041162227602905	0.00037830267028898806	6.940147650370647
K562	FOXA1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.1025326004436227	200	318	0.3334392702618314	0.2772229245680573	0.0002797680212834842	8.517635909548705
GM12878	ATF2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5554439565870994	200	3021	0.8890360018000358	0.846508788847637	0.0026577962021931	7.707267059006081
MCF-7	NFXL1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.0108957487477762	200	260	0.0337662337662337	0.0115967885816235	0.00022874114947706253	5.57390560729264
K562	TCF7	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.19561958332096	200	2060	0.4161009708737864	0.3456375838926174	0.0018123337227798032	6.754058356917216
GM12878	NRF1	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.7522026416628549	200	1014	0.9620127002802564	0.9624869390220512	0.000892090482960544	9.71971561040348
IMR-90	CEBPB	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.6030904209293142	200	14466	0.9653070811763612	0.9359896495010316	0.012726805647443025	5.5664320587014755
SK-N-SH	TCF12	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5590493480659737	200	13449	0.9372205233915704	0.9081418695146376	0.011832075843526977	5.562200527036164
HepG2	ATF2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.6966794370124514	200	7674	0.9647983755138984	0.9483356421580166	0.006751383004180684	6.689168106564839
HepG2	FOSL2	0.0	20210817_ENCODE_v1_roundRobin_allRandomRatios_binary_revcomp99	0.5320372930227404	200	4022	0.9806359355355936	0.9370789549380896	0.0035384496276797905	7.232266182732664
