TF	Total_CTs	CT_Train
CTCF	16	15
REST	11	10
CEBPB	7	6
JUND	7	6
MAX	7	6
ELF1	7	6
SP1	7	6
TEAD4	6	5
BHLHE40	6	5
MAZ	6	5
MYC	6	5
YY1	6	5
GABPA	6	5
RFX5	6	5
USF2	6	5
MAFK	6	5
NRF1	5	4
SRF	5	4
ETS1	5	4
EGR1	5	4
USF1	5	4
MXI1	5	4
JUNB	5	4
FOXM1	5	4
TCF7L2	5	4
ZBTB33	5	4
FOXK2	5	4
FOXA1	4	3
RUNX1	4	3
ZFX	4	3
ZNF143	4	3
ATF3	4	3
ARNT	4	3
ARID3A	4	3
ZBTB40	4	3
NFIC	4	3
PKNOX1	4	3
GATA3	4	3
CREB1	4	3
TCF12	4	3
ATF7	4	3
JUN	4	3
ESRRA	4	3
ZNF384	4	3
SREBF1	4	3
ZNF24	4	3
FOSL2	4	3
NR2F2	3	2
RXRA	3	2
MEF2A	3	2
CUX1	3	2
ZEB1	3	2
E4F1	3	2
RFX1	3	2
TBP	3	2
NFYA	3	2
TCF7	3	2
ZNF207	3	2
ZKSCAN1	3	2
NFXL1	3	2
ZNF592	3	2
GATAD2B	3	2
ELK1	3	2
NFE2L2	3	2
IRF3	3	2
MNT	3	2
POU5F1	3	2
PBX3	3	2
IKZF1	3	2
YBX1	3	2
E2F8	3	2
ATF2	3	2
CREM	3	2
SPI1	3	2
